title_id,title,language,category,registration_year
T00048,Bangalore Pratidin Sandhya,Marathi,Digest,2005
T00049,Bangalore Samachar,Urdu,Journal,2019
T00050,Bangalore Sandesh,Hindi,Journal,2012
T00051,Bangalore Sandhya,Punjabi,Journal,2016
T00052,Bangalore The Hindu,Bengali,Bulletin,2000
T00053,Bangalore Times,Urdu,Digest,2003
T00054,Bangalore Tribune,Urdu,Bulletin,2024
T00055,Bangalore Vartha,Bengali,Digest,2010
T00056,Bangalore Vichar,Hindi,Periodical,2013
T00057,Bharat Awaaz,Marathi,Journal,2000
T00058,Bharat Awaaz Bulletin,Bengali,Bulletin,2024
T00059,Bharat Awaaz Daily,Marathi,Bulletin,2003
T00060,Bharat Awaaz Journal,Urdu,Periodical,2020
T00061,Bharat Awaaz Live,Malayalam,Bulletin,2006
T00062,Bharat Awaaz Monthly,Marathi,Periodical,2024
T00063,Bharat Awaaz Report,Marathi,Bulletin,2024
T00064,Bharat Awaaz Today,Malayalam,Newspaper,2019
T00065,Bharat Awaaz Update,Tamil,Journal,2000
T00066,Bharat Awaaz Weekly,Hindi,Periodical,2009
T00067,Bharat Bhaskar,Gujarati,Newspaper,2007
T00068,Bharat Bhaskar Bulletin,Punjabi,Newspaper,2002
T00069,Bharat Bhaskar Daily,Kannada,Newspaper,2024
T00070,Bharat Bhaskar Journal,Malayalam,Magazine,2004
T00071,Bharat Bhaskar Live,Urdu,Journal,2017
T00072,Bharat Bhaskar Monthly,Marathi,Periodical,2016
T00073,Bharat Bhaskar Report,Punjabi,Journal,2006
T00074,Bharat Bhaskar Today,Malayalam,Digest,2022
T00075,Bharat Bhaskar Update,Gujarati,Digest,2009
T00076,Bharat Bhaskar Weekly,Telugu,Digest,2020
T00077,Bharat Dainik Namaskar,Tamil,Journal,2016
T00078,Bharat Dainik Namaskar Bulletin,Kannada,Newspaper,2007
T00079,Bharat Dainik Namaskar Daily,Gujarati,Newspaper,2010
T00080,Bharat Dainik Namaskar Journal,English,Bulletin,2017
T00081,Bharat Dainik Namaskar Live,Gujarati,Bulletin,2007
T00082,Bharat Dainik Namaskar Monthly,English,Newspaper,2022
T00083,Bharat Dainik Namaskar Report,Urdu,Newspaper,2007
T00084,Bharat Dainik Namaskar Today,Hindi,Newspaper,2010
T00085,Bharat Dainik Namaskar Update,Hindi,Bulletin,2007
T00086,Bharat Dainik Namaskar Weekly,Bengali,Digest,2015
T00087,Bharat Darpan,Gujarati,Bulletin,2004
T00088,Bharat Darpan Bulletin,Punjabi,Bulletin,2015
T00089,Bharat Darpan Daily,Gujarati,Journal,2013
T00090,Bharat Darpan Journal,Gujarati,Newspaper,2003
T00091,Bharat Darpan Live,Urdu,Journal,2011
T00092,Bharat Darpan Monthly,Telugu,Journal,2014
T00093,Bharat Darpan Report,English,Digest,2020
T00094,Bharat Darpan Today,Urdu,Newspaper,2001
T00095,Bharat Darpan Update,Telugu,Digest,2010
T00096,Bharat Darpan Weekly,Hindi,Magazine,2006
T00097,Bharat Express,Gujarati,Bulletin,2014
T00098,Bharat Express Bulletin,Marathi,Journal,2005
T00099,Bharat Express Daily,Bengali,Journal,2007
T00100,Bharat Express Journal,Hindi,Journal,2017
T00101,Bharat Express Live,Hindi,Newspaper,2020
T00102,Bharat Express Monthly,Malayalam,Newspaper,2002
T00103,Bharat Express Report,Gujarati,Magazine,2013
T00104,Bharat Express Today,Kannada,Journal,2006
T00105,Bharat Express Update,Telugu,Newspaper,2005
T00106,Bharat Express Weekly,Telugu,Newspaper,2012
T00107,Bharat Herald,Bengali,Journal,2009
T00108,Bharat Herald Bulletin,Telugu,Digest,2023
T00109,Bharat Herald Daily,Malayalam,Digest,2022
T00110,Bharat Herald Journal,Kannada,Magazine,2006
T00111,Bharat Herald Live,Bengali,Magazine,2001
T00112,Bharat Herald Monthly,Punjabi,Digest,2017
T00113,Bharat Herald Report,English,Digest,2010
T00114,Bharat Herald Today,English,Newspaper,2018
T00115,Bharat Herald Update,Kannada,Bulletin,2016
T00116,Bharat Herald Weekly,Marathi,Newspaper,2016
T00117,Bharat Indian Express,Hindi,Magazine,2002
T00118,Bharat Indian Express Bulletin,Punjabi,Newspaper,2021
T00119,Bharat Indian Express Daily,Gujarati,Journal,2003
T00120,Bharat Indian Express Journal,Punjabi,Magazine,2018
T00121,Bharat Indian Express Live,Punjabi,Newspaper,2019
T00122,Bharat Indian Express Monthly,Hindi,Journal,2021
T00123,Bharat Indian Express Report,Punjabi,Bulletin,2016
T00124,Bharat Indian Express Today,Tamil,Periodical,2006
T00125,Bharat Indian Express Update,Urdu,Digest,2010
T00126,Bharat Indian Express Weekly,Gujarati,Periodical,2012
T00127,Bharat Jagran,Marathi,Digest,2020
T00128,Bharat Jagran Bulletin,Bengali,Journal,2010
T00129,Bharat Jagran Daily,Hindi,Newspaper,2014
T00130,Bharat Jagran Journal,Punjabi,Bulletin,2003
T00131,Bharat Jagran Live,Hindi,Bulletin,2006
T00132,Bharat Jagran Monthly,Malayalam,Periodical,2004
T00133,Bharat Jagran Report,Tamil,Newspaper,2007
T00134,Bharat Jagran Today,Tamil,Periodical,2005
T00135,Bharat Jagran Update,Kannada,Bulletin,2022
T00136,Bharat Jagran Weekly,Bengali,Bulletin,2020
T00137,Bharat Kesari,Malayalam,Newspaper,2021
T00138,Bharat Kesari Bulletin,Malayalam,Periodical,2021
T00139,Bharat Kesari Daily,Hindi,Magazine,2008
T00140,Bharat Kesari Journal,Hindi,Newspaper,2023
T00141,Bharat Kesari Live,Malayalam,Magazine,2008
T00142,Bharat Kesari Monthly,Bengali,Bulletin,2006
T00143,Bharat Kesari Report,Tamil,Magazine,2021
T00144,Bharat Kesari Today,Urdu,Periodical,2016
T00145,Bharat Kesari Update,Kannada,Periodical,2001
T00146,Bharat Kesari Weekly,Hindi,Digest,2013
T00147,Bharat News,Bengali,Newspaper,2000
T00148,Bharat News Bulletin,Tamil,Magazine,2020
T00149,Bharat News Daily,Bengali,Magazine,2023
T00150,Bharat News Journal,Kannada,Bulletin,2022
T00151,Bharat News Live,Telugu,Bulletin,2000
T00152,Bharat News Monthly,Hindi,Newspaper,2022
T00153,Bharat News Report,Marathi,Bulletin,2001
T00154,Bharat News Today,Tamil,Bulletin,2017
T00155,Bharat News Update,Marathi,Journal,2004
T00156,Bharat News Weekly,English,Periodical,2011
T00157,Bharat Patrika,English,Periodical,2006
T00158,Bharat Patrika Bulletin,Urdu,Magazine,2021
T00159,Bharat Patrika Daily,Hindi,Periodical,2024
T00160,Bharat Patrika Journal,Malayalam,Journal,2019
T00161,Bharat Patrika Live,Marathi,Magazine,2005
T00162,Bharat Patrika Monthly,Marathi,Journal,2000
T00163,Bharat Patrika Report,Marathi,Digest,2010
T00164,Bharat Patrika Today,Telugu,Digest,2023
T00165,Bharat Patrika Update,Gujarati,Periodical,2005
T00166,Bharat Patrika Weekly,Hindi,Journal,2001
T00167,Bharat Post,Kannada,Magazine,2006
T00168,Bharat Post Bulletin,Kannada,Periodical,2009
T00169,Bharat Post Daily,Gujarati,Magazine,2000
T00170,Bharat Post Journal,Urdu,Magazine,2012
T00171,Bharat Post Live,Tamil,Periodical,2002
T00172,Bharat Post Monthly,Bengali,Periodical,2020
T00173,Bharat Post Report,Malayalam,Journal,2021
T00174,Bharat Post Today,Malayalam,Periodical,2000
T00175,Bharat Post Update,Hindi,Periodical,2005
T00176,Bharat Post Weekly,Punjabi,Periodical,2001
T00177,Bharat Prabhat,Hindi,Bulletin,2013
T00178,Bharat Prabhat Bulletin,Tamil,Digest,2010
T00179,Bharat Prabhat Daily,Telugu,Bulletin,2016
T00180,Bharat Prabhat Journal,Hindi,Journal,2018
T00181,Bharat Prabhat Live,Gujarati,Periodical,2001
T00182,Bharat Prabhat Monthly,Telugu,Newspaper,2016
T00183,Bharat Prabhat Report,Malayalam,Digest,2023
T00184,Bharat Prabhat Today,Urdu,Magazine,2011
T00185,Bharat Prabhat Update,Telugu,Newspaper,2021
T00186,Bharat Prabhat Weekly,Tamil,Bulletin,2010
T00187,Bharat Prakash,Urdu,Newspaper,2023
T00188,Bharat Prakash Bulletin,Bengali,Bulletin,2009
T00189,Bharat Prakash Daily,Urdu,Journal,2010
T00190,Bharat Prakash Journal,Telugu,Digest,2009
T00191,Bharat Prakash Live,Malayalam,Magazine,2006
T00192,Bharat Prakash Monthly,Telugu,Digest,2012
T00193,Bharat Prakash Report,Urdu,Digest,2005
T00194,Bharat Prakash Today,Punjabi,Bulletin,2009
T00195,Bharat Prakash Update,Telugu,Bulletin,2000
T00196,Bharat Prakash Weekly,Bengali,Periodical,2006
T00197,Bharat Pratidin Sandhya,Telugu,Bulletin,2019
T00198,Bharat Pratidin Sandhya Bulletin,Urdu,Periodical,2014
T00199,Bharat Pratidin Sandhya Daily,Kannada,Journal,2021
T00200,Bharat Pratidin Sandhya Journal,Gujarati,Bulletin,2015
T00201,Bharat Pratidin Sandhya Live,Marathi,Digest,2002
T00202,Bharat Pratidin Sandhya Monthly,Bengali,Bulletin,2021
T00203,Bharat Pratidin Sandhya Report,Urdu,Bulletin,2010
T00204,Bharat Pratidin Sandhya Today,Hindi,Magazine,2021
T00205,Bharat Pratidin Sandhya Update,Bengali,Magazine,2006
T00206,Bharat Pratidin Sandhya Weekly,Marathi,Newspaper,2001
T00207,Bharat Samachar,Gujarati,Journal,2019
T00208,Bharat Samachar Bulletin,Hindi,Journal,2013
T00209,Bharat Samachar Daily,Urdu,Bulletin,2006
T00210,Bharat Samachar Journal,Telugu,Journal,2012
T00211,Bharat Samachar Live,Gujarati,Magazine,2020
T00212,Bharat Samachar Monthly,English,Newspaper,2024
T00213,Bharat Samachar Report,Telugu,Magazine,2005
T00214,Bharat Samachar Today,Malayalam,Journal,2001
T00215,Bharat Samachar Update,Malayalam,Magazine,2003
T00216,Bharat Samachar Weekly,Kannada,Magazine,2014
T00217,Bharat Sandesh,Urdu,Bulletin,2017
T00218,Bharat Sandesh Bulletin,Punjabi,Periodical,2024
T00219,Bharat Sandesh Daily,Kannada,Bulletin,2023
T00220,Bharat Sandesh Journal,Malayalam,Journal,2017
T00221,Bharat Sandesh Live,Kannada,Magazine,2023
T00222,Bharat Sandesh Monthly,Kannada,Journal,2008
T00223,Bharat Sandesh Report,Gujarati,Digest,2008
T00224,Bharat Sandesh Today,Malayalam,Journal,2020
T00225,Bharat Sandesh Update,Gujarati,Periodical,2014
T00226,Bharat Sandesh Weekly,Hindi,Digest,2009
T00227,Bharat Sandhya,Gujarati,Periodical,2010
T00228,Bharat Sandhya Bulletin,Tamil,Bulletin,2002
T00229,Bharat Sandhya Daily,Marathi,Magazine,2007
T00230,Bharat Sandhya Journal,Telugu,Digest,2004
T00231,Bharat Sandhya Live,Gujarati,Newspaper,2013
T00232,Bharat Sandhya Monthly,Telugu,Periodical,2017
T00233,Bharat Sandhya Report,Kannada,Journal,2001
T00234,Bharat Sandhya Today,Gujarati,Journal,2012
T00235,Bharat Sandhya Update,Punjabi,Digest,2000
T00236,Bharat Sandhya Weekly,Punjabi,Journal,2015
T00237,Bharat The Hindu,English,Periodical,2009
T00238,Bharat The Hindu Bulletin,Telugu,Journal,2017
T00239,Bharat The Hindu Daily,Malayalam,Bulletin,2007
T00240,Bharat The Hindu Journal,Kannada,Magazine,2008
T00241,Bharat The Hindu Live,Telugu,Journal,2000
T00242,Bharat The Hindu Monthly,Telugu,Periodical,2021
T00243,Bharat The Hindu Report,Urdu,Journal,2023
T00244,Bharat The Hindu Today,Marathi,Journal,2004
T00245,Bharat The Hindu Update,Punjabi,Bulletin,2000
T00246,Bharat The Hindu Weekly,Telugu,Bulletin,2018
T00247,Bharat Times,Urdu,Newspaper,2002
T00248,Bharat Times Bulletin,Urdu,Journal,2004
T00249,Bharat Times Daily,Kannada,Magazine,2001
T00250,Bharat Times Journal,Bengali,Journal,2010
T00251,Bharat Times Live,Gujarati,Journal,2010
T00252,Bharat Times Monthly,Tamil,Journal,2008
T00253,Bharat Times Report,Telugu,Periodical,2002
T00254,Bharat Times Today,Kannada,Newspaper,2023
T00255,Bharat Times Update,Malayalam,Newspaper,2011
T00256,Bharat Times Weekly,Gujarati,Digest,2002
T00257,Bharat Tribune,Urdu,Newspaper,2024
T00258,Bharat Tribune Bulletin,English,Magazine,2006
T00259,Bharat Tribune Daily,English,Bulletin,2004
T00260,Bharat Tribune Journal,Gujarati,Magazine,2015
T00261,Bharat Tribune Live,Urdu,Newspaper,2018
T00262,Bharat Tribune Monthly,Gujarati,Journal,2022
T00263,Bharat Tribune Report,Bengali,Periodical,2005
T00264,Bharat Tribune Today,Punjabi,Bulletin,2023
T00265,Bharat Tribune Update,Hindi,Magazine,2009
T00266,Bharat Tribune Weekly,Hindi,Bulletin,2000
T00267,Bharat Vartha,Bengali,Bulletin,2021
T00268,Bharat Vartha Bulletin,Telugu,Journal,2022
T00269,Bharat Vartha Daily,Gujarati,Newspaper,2018
T00270,Bharat Vartha Journal,Urdu,Magazine,2003
T00271,Bharat Vartha Live,Bengali,Digest,2019
T00272,Bharat Vartha Monthly,Hindi,Bulletin,2001
T00273,Bharat Vartha Report,Tamil,Bulletin,2013
T00274,Bharat Vartha Today,Urdu,Periodical,2002
T00275,Bharat Vartha Update,Malayalam,Digest,2010
T00276,Bharat Vartha Weekly,English,Journal,2015
T00277,Bharat Vichar,Hindi,Journal,2011
T00278,Bharat Vichar Bulletin,Urdu,Journal,2022
T00279,Bharat Vichar Daily,Marathi,Journal,2005
T00280,Bharat Vichar Journal,Malayalam,Digest,2008
T00281,Bharat Vichar Live,Punjabi,Bulletin,2024
T00282,Bharat Vichar Monthly,Kannada,Journal,2013
T00283,Bharat Vichar Report,Punjabi,Periodical,2010
T00284,Bharat Vichar Today,Gujarati,Newspaper,2008
T00285,Bharat Vichar Update,Kannada,Magazine,2024
T00286,Bharat Vichar Weekly,Kannada,Bulletin,2019
T00287,Bhaskar,Urdu,Journal,2010
T00288,Bhaskar Bulletin,English,Journal,2010
T00289,Bhaskar Daily,Marathi,Journal,2006
T00290,Bhaskar Journal,Tamil,Periodical,2010
T00291,Bhaskar Live,Bengali,Bulletin,2022
T00292,Bhaskar Monthly,Bengali,Bulletin,2000
T00293,Bhaskar Report,Malayalam,Magazine,2002
T00294,Bhaskar Today,Gujarati,Digest,2013
T00295,Bhaskar Update,Kannada,Bulletin,2024
T00296,Bhaskar Weekly,Gujarati,Digest,2015
T00297,Bhopal Awaaz,Urdu,Digest,2015
T00298,Bhopal Bhaskar,Kannada,Newspaper,2002
T00299,Bhopal Dainik Namaskar,Bengali,Magazine,2012
T00300,Bhopal Darpan,Gujarati,Periodical,2021
T00301,Bhopal Express,Punjabi,Periodical,2015
T00302,Bhopal Herald,Malayalam,Bulletin,2011
T00303,Bhopal Indian Express,Telugu,Digest,2017
T00304,Bhopal Jagran,Tamil,Periodical,2022
T00305,Bhopal Kesari,Kannada,Periodical,2009
T00306,Bhopal News,Bengali,Magazine,2003
T00307,Bhopal Patrika,Gujarati,Periodical,2003
T00308,Bhopal Post,Malayalam,Digest,2005
T00309,Bhopal Prabhat,Gujarati,Magazine,2023
T00310,Bhopal Prakash,Kannada,Periodical,2023
T00311,Bhopal Pratidin Sandhya,Punjabi,Bulletin,2019
T00312,Bhopal Samachar,Bengali,Newspaper,2006
T00313,Bhopal Sandesh,Bengali,Magazine,2011
T00314,Bhopal Sandhya,Marathi,Periodical,2000
T00315,Bhopal The Hindu,Malayalam,Magazine,2008
T00316,Bhopal Times,English,Newspaper,2017
T00317,Bhopal Tribune,Bengali,Digest,2004
T00318,Bhopal Vartha,Urdu,Journal,2003
T00319,Bhopal Vichar,English,Bulletin,2009
T00320,Chandigarh Awaaz,Kannada,Journal,2014
T00321,Chandigarh Bhaskar,Tamil,Magazine,2001
T00322,Chandigarh Dainik Namaskar,Bengali,Journal,2003
T00323,Chandigarh Darpan,Hindi,Journal,2015
T00324,Chandigarh Express,Hindi,Bulletin,2020
T00325,Chandigarh Herald,Urdu,Newspaper,2004
T00326,Chandigarh Indian Express,Marathi,Bulletin,2009
T00327,Chandigarh Jagran,Hindi,Magazine,2003
T00328,Chandigarh Kesari,Malayalam,Journal,2019
T00329,Chandigarh News,Punjabi,Bulletin,2007
T00330,Chandigarh Patrika,Malayalam,Journal,2014
T00331,Chandigarh Post,Kannada,Periodical,2018
T00332,Chandigarh Prabhat,Telugu,Periodical,2018
T00333,Chandigarh Prakash,Punjabi,Newspaper,2019
T00334,Chandigarh Pratidin Sandhya,Hindi,Magazine,2020
T00335,Chandigarh Samachar,Gujarati,Periodical,2021
T00336,Chandigarh Sandesh,Hindi,Magazine,2007
T00337,Chandigarh Sandhya,Marathi,Bulletin,2002
T00338,Chandigarh The Hindu,Marathi,Newspaper,2013
T00339,Chandigarh Times,Kannada,Digest,2019
T00340,Chandigarh Tribune,Kannada,Periodical,2001
T00341,Chandigarh Vartha,Gujarati,Periodical,2022
T00342,Chandigarh Vichar,Bengali,Digest,2014
T00343,Chennai Awaaz,Hindi,Digest,2007
T00344,Chennai Bhaskar,Bengali,Digest,2018
T00345,Chennai Dainik Namaskar,Urdu,Magazine,2013
T00346,Chennai Darpan,Hindi,Bulletin,2007
T00347,Chennai Darpan Daily,Urdu,Magazine,2008
T00348,Chennai Darpan Monthly,Marathi,Newspaper,2001
T00349,Chennai Darpan Today,Marathi,Periodical,2019
T00350,Chennai Darpan Weekly,Punjabi,Periodical,2014
T00351,Chennai Express,Hindi,Journal,2022
T00352,Chennai Express Daily,Bengali,Digest,2012
T00353,Chennai Express Monthly,Bengali,Bulletin,2017
T00354,Chennai Express Today,Kannada,Journal,2002
T00355,Chennai Express Weekly,Punjabi,Newspaper,2013
T00356,Chennai Herald,Tamil,Bulletin,2008
T00357,Chennai Herald Daily,English,Newspaper,2007
T00358,Chennai Herald Monthly,Urdu,Bulletin,2018
T00359,Chennai Herald Today,English,Digest,2008
T00360,Chennai Herald Weekly,Punjabi,Newspaper,2024
T00361,Chennai Indian Express,Marathi,Journal,2016
T00362,Chennai Jagran,Urdu,Journal,2008
T00363,Chennai Kesari,Marathi,Bulletin,2013
T00364,Chennai News,Urdu,Journal,2002
T00365,Chennai News Daily,Kannada,Periodical,2013
T00366,Chennai News Monthly,Tamil,Periodical,2021
T00367,Chennai News Today,Hindi,Magazine,2010
T00368,Chennai News Weekly,Telugu,Digest,2015
T00369,Chennai Patrika,Bengali,Digest,2012
T00370,Chennai Post,Malayalam,Newspaper,2014
T00371,Chennai Post Daily,Hindi,Periodical,2008
T00372,Chennai Post Monthly,Tamil,Newspaper,2024
T00373,Chennai Post Today,Telugu,Bulletin,2000
T00374,Chennai Post Weekly,Urdu,Bulletin,2014
T00375,Chennai Prabhat,Telugu,Newspaper,2006
T00376,Chennai Prakash,Malayalam,Periodical,2019
T00377,Chennai Pratidin Sandhya,Kannada,Digest,2014
T00378,Chennai Samachar,English,Magazine,2008
T00379,Chennai Samachar Daily,Malayalam,Magazine,2009
T00380,Chennai Samachar Monthly,Kannada,Digest,2015
T00381,Chennai Samachar Today,Hindi,Newspaper,2020
T00382,Chennai Samachar Weekly,Punjabi,Magazine,2022
T00383,Chennai Sandesh,Marathi,Periodical,2017
T00384,Chennai Sandesh Daily,English,Bulletin,2013
T00385,Chennai Sandesh Monthly,Hindi,Magazine,2003
T00386,Chennai Sandesh Today,Kannada,Newspaper,2020
T00387,Chennai Sandesh Weekly,Marathi,Journal,2022
T00388,Chennai Sandhya,Bengali,Bulletin,2022
T00389,Chennai The Hindu,Bengali,Journal,2015
T00390,Chennai Times,Kannada,Magazine,2014
T00391,Chennai Times Daily,Malayalam,Magazine,2012
T00392,Chennai Times Monthly,Gujarati,Bulletin,2016
T00393,Chennai Times Today,Marathi,Newspaper,2008
T00394,Chennai Times Weekly,Telugu,Periodical,2016
T00395,Chennai Tribune,Bengali,Newspaper,2009
T00396,Chennai Tribune Daily,Bengali,Bulletin,2018
T00397,Chennai Tribune Monthly,Urdu,Journal,2004
T00398,Chennai Tribune Today,Kannada,Bulletin,2015
T00399,Chennai Tribune Weekly,Tamil,Periodical,2017
T00400,Chennai Vartha,Malayalam,Journal,2014
T00401,Chennai Vichar,Tamil,Magazine,2022
T00402,Chennai Vichar Daily,Gujarati,Bulletin,2012
T00403,Chennai Vichar Monthly,Gujarati,Journal,2001
T00404,Chennai Vichar Today,Tamil,Digest,2015
T00405,Chennai Vichar Weekly,Telugu,Journal,2021
T00406,Daily Awaaz,Urdu,Magazine,2015
T00407,Daily Awaaz Bulletin,English,Magazine,2016
T00408,Daily Awaaz Daily,Punjabi,Periodical,2003
T00409,Daily Awaaz Journal,Kannada,Newspaper,2016
T00410,Daily Awaaz Live,Kannada,Newspaper,2023
T00411,Daily Awaaz Monthly,Marathi,Journal,2020
T00412,Daily Awaaz Report,Marathi,Newspaper,2015
T00413,Daily Awaaz Today,Bengali,Periodical,2019
T00414,Daily Awaaz Update,Telugu,Digest,2002
T00415,Daily Awaaz Weekly,Tamil,Digest,2017
T00416,Daily Bhaskar,Telugu,Periodical,2020
T00417,Daily Bhaskar Bulletin,Kannada,Bulletin,2001
T00418,Daily Bhaskar Daily,Punjabi,Newspaper,2007
T00419,Daily Bhaskar Journal,Urdu,Digest,2009
T00420,Daily Bhaskar Live,Gujarati,Digest,2002
T00421,Daily Bhaskar Monthly,Telugu,Newspaper,2024
T00422,Daily Bhaskar Report,Urdu,Digest,2003
T00423,Daily Bhaskar Today,Kannada,Magazine,2022
T00424,Daily Bhaskar Update,Bengali,Newspaper,2001
T00425,Daily Bhaskar Weekly,Tamil,Newspaper,2009
T00426,Daily Dainik Namaskar,Tamil,Periodical,2013
T00427,Daily Dainik Namaskar Bulletin,Marathi,Magazine,2016
T00428,Daily Dainik Namaskar Daily,Telugu,Bulletin,2021
T00429,Daily Dainik Namaskar Journal,Marathi,Magazine,2005
T00430,Daily Dainik Namaskar Live,Hindi,Bulletin,2012
T00431,Daily Dainik Namaskar Monthly,Punjabi,Digest,2007
T00432,Daily Dainik Namaskar Report,Kannada,Bulletin,2004
T00433,Daily Dainik Namaskar Today,Gujarati,Journal,2020
T00434,Daily Dainik Namaskar Update,Bengali,Journal,2008
T00435,Daily Dainik Namaskar Weekly,Urdu,Newspaper,2014
T00436,Daily Darpan,Bengali,Digest,2017
T00437,Daily Darpan Bulletin,Marathi,Newspaper,2014
T00438,Daily Darpan Daily,Tamil,Bulletin,2009
T00439,Daily Darpan Journal,Urdu,Journal,2022
T00440,Daily Darpan Live,Bengali,Journal,2009
T00441,Daily Darpan Monthly,Gujarati,Journal,2015
T00442,Daily Darpan Report,Hindi,Magazine,2012
T00443,Daily Darpan Today,Punjabi,Periodical,2018
T00444,Daily Darpan Update,Bengali,Digest,2009
T00445,Daily Darpan Weekly,English,Digest,2012
T00446,Daily Express,Bengali,Newspaper,2018
T00447,Daily Express Bulletin,Urdu,Digest,2001
T00448,Daily Express Daily,Punjabi,Digest,2015
T00449,Daily Express Journal,Bengali,Magazine,2019
T00450,Daily Express Live,Tamil,Magazine,2020
T00451,Daily Express Monthly,Gujarati,Bulletin,2008
T00452,Daily Express Report,Urdu,Digest,2024
T00453,Daily Express Today,Urdu,Digest,2004
T00454,Daily Express Update,Urdu,Newspaper,2020
T00455,Daily Express Weekly,Urdu,Newspaper,2009
T00456,Daily Herald,Kannada,Newspaper,2018
T00457,Daily Herald Bulletin,Tamil,Digest,2004
T00458,Daily Herald Daily,Hindi,Periodical,2010
T00459,Daily Herald Journal,Telugu,Magazine,2006
T00460,Daily Herald Live,Marathi,Bulletin,2011
T00461,Daily Herald Monthly,Malayalam,Bulletin,2008
T00462,Daily Herald Report,Marathi,Periodical,2015
T00463,Daily Herald Today,Bengali,Digest,2010
T00464,Daily Herald Update,Hindi,Journal,2002
T00465,Daily Herald Weekly,Marathi,Magazine,2021
T00466,Daily Indian Express,Urdu,Journal,2017
T00467,Daily Indian Express Bulletin,Tamil,Newspaper,2012
T00468,Daily Indian Express Daily,English,Periodical,2017
T00469,Daily Indian Express Journal,Hindi,Journal,2011
T00470,Daily Indian Express Live,Urdu,Digest,2021
T00471,Daily Indian Express Monthly,Bengali,Bulletin,2012
T00472,Daily Indian Express Report,Urdu,Periodical,2003
T00473,Daily Indian Express Today,Urdu,Magazine,2015
T00474,Daily Indian Express Update,English,Bulletin,2017
T00475,Daily Indian Express Weekly,Tamil,Bulletin,2007
T00476,Daily Jagran,Urdu,Newspaper,2020
T00477,Daily Jagran Bulletin,Kannada,Digest,2009
T00478,Daily Jagran Daily,Urdu,Journal,2003
T00479,Daily Jagran Journal,Marathi,Newspaper,2001
T00480,Daily Jagran Live,Bengali,Journal,2003
T00481,Daily Jagran Monthly,Hindi,Magazine,2017
T00482,Daily Jagran Report,Marathi,Journal,2014
T00483,Daily Jagran Today,Tamil,Digest,2023
T00484,Daily Jagran Update,Malayalam,Journal,2018
T00485,Daily Jagran Weekly,Marathi,Journal,2020
T00486,Daily Kesari,Hindi,Journal,2019
T00487,Daily Kesari Bulletin,Telugu,Periodical,2001
T00488,Daily Kesari Daily,Tamil,Magazine,2014
